epoch,step,train/loss,train/loss_s,train/loss_a,train/loss_rec,train/s_tea_std,train/s_stu_std,train/a_tea_std,train/a_stu_std,val/loss,val/loss_s,val/loss_a,val/s_tea_std,lr,epoch_s
0,620,0.2775034679160003,0.18710980485644071,0.06735737176101295,0.5671497649242802,0.5965727437888423,0.604824133457676,0.19502057115877827,0.1933491228328597,0.17558662500232458,0.12244209321215749,0.014533799141645432,0.7122397124767303,0.0005998645229408355,221.4
1,1240,0.18456266229191134,0.13801980462045438,0.011640996700753609,0.4072235805373038,0.8356040787312292,0.838627671907025,0.18554503763875654,0.18801224020219617,0.19672412518411875,0.15079027600586414,0.014480410667601973,0.8464234471321106,0.0005948640434510083,221.8
2,1860,0.21781512010962734,0.17342372560693373,0.01952015939168632,0.34631313431647515,0.9076604295161462,0.9072760882877534,0.2213617902849951,0.22315679267048835,0.23814585339277983,0.19092731829732656,0.02466552099213004,0.8927424848079681,0.0005827834150727983,223.2
3,2480,0.24280443148266884,0.19319565380292555,0.036517371913237916,0.3135009122952338,0.948289035020336,0.9484486809661311,0.2710559053526771,0.2727224412704668,0.2529114307835698,0.1967568350955844,0.04540215921588242,0.9349699467420578,0.0005639455681914255,223.6
4,3100,0.2476924670800086,0.19276217402469728,0.05107056137414709,0.2939501253827926,0.9837971636364536,0.9841807591338312,0.3044893024909881,0.30499034749884757,0.26664432417601347,0.20521693862974644,0.05851798946969211,0.9704363793134689,0.0005388540621383761,223.9
5,3720,0.26109104192545335,0.2032433563903455,0.060559156807439944,0.27568106781090457,1.0232178488085346,1.0237439934284456,0.3335960938565193,0.33421529954479584,0.28005025535821915,0.21328538563102484,0.07082394184544683,1.0091245956718922,0.0005081796244173618,222.1
6,4340,0.266188270238138,0.20575021224156503,0.0685708891720541,0.2615261389603538,1.056798094511032,1.057027107669461,0.36331260545599847,0.36384895246836446,0.2838742695748806,0.21148404479026794,0.0839906563051045,1.036850593984127,0.0004727422213148852,224.4
7,4960,0.26951026123377586,0.2083088813770202,0.07214548784878946,0.25128636566861984,1.0847006069075678,1.0848355024091658,0.382672903710796,0.3828725602838301,0.29198635928332806,0.21503368765115738,0.09452383825555444,1.0641606599092484,0.00043348913917044037,224.6
8,5580,0.2589048072695732,0.1988193575172655,0.07176535312206514,0.24202772943723586,1.1067342631278498,1.1064247015983828,0.3959244715590631,0.39584016300016833,0.28253716696053743,0.20124655216932297,0.10367126669734716,1.0868057012557983,0.0003914696622216646,224.8
9,6200,0.2550842551454421,0.1961301010702887,0.07136856776572043,0.23269870723447492,1.1283238418640629,1.1281294190114544,0.40822219867860116,0.40825861538610153,0.298656839877367,0.21267401985824108,0.11418961035087705,1.1121503710746765,0.000347807023917436,225.0
10,6820,0.2648842875515261,0.20819157398035448,0.06792977713649312,0.2272782538446688,1.1514661713953942,1.1513312605119521,0.414564197534515,0.4143899290311721,0.3158364873379469,0.22720962017774582,0.12063339352607727,1.1396885067224503,0.00030366838147557064,225.1
11,7440,0.25758062598686066,0.20563806800111648,0.05559352891099068,0.2414579371050481,1.187668732481618,1.1882250541640866,0.39079430920462455,0.3889934121120361,0.25397883262485266,0.1772966030985117,0.09560335986316204,1.1999801769852638,0.00026023361630295107,225.0
12,8060,0.16937803331642381,0.1231402850319301,0.03736429657306402,0.27555600222079984,1.232145392702472,1.2328241642444364,0.3351334963114031,0.3337774600232801,0.1577490922063589,0.08921518223360181,0.07438320317305624,1.2501382231712341,0.00021866379428208405,227.4
13,8680,0.11301266469301716,0.06880302298213205,0.029443410084012054,0.2948793668420084,1.2791186267329802,1.2797333526995873,0.3085110191375979,0.3089518274991743,0.13606764562427998,0.06824113195762038,0.07426138035953045,1.2924985513091087,0.00018007012902028515,225.5
14,9300,0.09999491756241168,0.05745549671231739,0.02762369831663466,0.28727571397058427,1.3119811627172655,1.312183718335244,0.3103876703689175,0.31077549375834,0.12996699148789048,0.060972741805016994,0.07789504830725491,1.3179720863699913,0.00014548427771285242,225.6
15,9920,0.09510170688792582,0.05393202921315547,0.026257843316923227,0.28040755559359826,1.3330994332990338,1.3330960398720157,0.31248186701728453,0.3129095656256522,0.13135317899286747,0.06111769564449787,0.08070605807006359,1.3350431621074677,0.0001158307636491593,225.5
16,10540,0.09138043040950453,0.05134930320444607,0.02493877099646676,0.27561741418415503,1.348180946996135,1.3481068914936434,0.31243614737064607,0.31289798175134964,0.12842201814055443,0.059055074118077755,0.0797742863651365,1.3477373272180557,9.190226254274974e-05,225.6
17,11160,0.08895866157066437,0.04994117629624182,0.023503247290969857,0.2726586126752438,1.3600487166835415,1.3599920913096397,0.31005047752011206,0.31074575858731424,0.12886457424610853,0.05888023669831455,0.08116763969883323,1.358481526374817,7.433841331290386e-05,225.9
18,11780,0.08752493652845583,0.04920801189878295,0.022475991497236874,0.2707892853406168,1.3694896924880242,1.3694062217589347,0.3082045316215484,0.30865510327200735,0.12823024531826377,0.05854910961352289,0.0804383687209338,1.3671888783574104,6.360871973212415e-05,226.1
19,12400,0.08664273340855876,0.04886021806347755,0.02155065802677024,0.27007186054702725,1.377329700031588,1.3772259000808962,0.305839969169709,0.30616914293458386,0.13102941354736686,0.061829370679333806,0.08003223547711968,1.3744624853134155,5.9999999999999995e-05,222.4
