epoch,step,train/loss,train/loss_s,train/loss_a,train/loss_rec,train/s_tea_std,train/s_stu_std,train/a_tea_std,train/a_stu_std,val/loss,val/loss_s,val/loss_a,val/s_tea_std,lr,epoch_s
0,620,0.2014994621937794,0.16662496604145535,0.06974899167074791,0.0,0.6247573028649053,0.6293146251190094,0.20840121149536103,0.20722609686274682,0.08400895819067955,0.07608160190284252,0.01585471397265792,0.6149835474789143,0.0005998645229408355,218.9
1,1240,0.09653265134942147,0.08899632956712476,0.015072644242055474,0.0,0.7017313494797676,0.7037196496801992,0.21233230235595857,0.2163697751058686,0.1084842556156218,0.0986980777233839,0.019572355900891125,0.6830558963119984,0.0005948640434510083,216.2
2,1860,0.12776354283334748,0.1165039325313222,0.022519221511338988,0.0,0.763509905626697,0.7651875956404594,0.2637601296507543,0.26576069192059576,0.1523383529856801,0.1404496068134904,0.023777495429385453,0.775519322603941,0.0005827834150727983,216.1
3,2480,0.16918105153787522,0.15551463829413537,0.027332827004213488,0.0,0.8405497765348804,0.842155512206016,0.26272340332788807,0.2640716329937981,0.18813535291701555,0.17311874497681856,0.030033218441531062,0.859102338552475,0.0005639455681914255,216.1
4,3100,0.18706812505279818,0.16974419985086686,0.034647850776391646,0.0,0.8940881453214153,0.894645195430325,0.27482007448711704,0.27559189185980826,0.19198506232351065,0.17287049908190966,0.03822912636678666,0.9040228202939034,0.0005388540621383761,216.2
5,3720,0.1857400078927317,0.16438983339936503,0.04270034968973167,0.0,0.9307979943290834,0.9310743392475189,0.28820673299412575,0.28875482986050266,0.20088239759206772,0.17733751237392426,0.04708977369591594,0.9326275810599327,0.0005081796244173618,216.4
6,4340,0.1846457996435704,0.16087624935373182,0.04753910187752016,0.0,0.9545470071415747,0.9548331773088824,0.30789438519747026,0.30871250038185427,0.20208207424730062,0.17443158105015755,0.05530098685994744,0.9594751223921776,0.0004727422213148852,216.9
7,4960,0.18626805238666072,0.16041836750603491,0.05169937072261687,0.0,0.9804404838431267,0.9807570052723731,0.33023250636554535,0.3307718876388765,0.2008649678900838,0.16950127482414246,0.06272739009000361,0.982546329498291,0.00043348913917044037,219.5
8,5580,0.1845965079963207,0.15765688460200064,0.05387924833283309,0.0,1.0034882312820803,1.0038493301599256,0.3480687241400442,0.34842851806071495,0.19501673430204391,0.1598546765744686,0.07032411592081189,1.0040381774306297,0.0003914696622216646,220.0
9,6200,0.18056587939781527,0.15346385077122718,0.05420405868921549,0.0,1.021169622098246,1.0215510714438654,0.36179008690580244,0.3619808286909134,0.1990880649536848,0.16061280015856028,0.07695052842609584,1.0175682082772255,0.000347807023917436,221.1
10,6820,0.17398047464028482,0.14727472915284096,0.053411492248696665,0.0,1.0337348391932826,1.0339664424619368,0.373566087311314,0.3738971502069504,0.19845625944435596,0.156004480086267,0.08490355382673442,1.0262352153658867,0.00030366838147557064,221.8
11,7440,0.16813700040501933,0.14229316110572507,0.051687680371105674,0.0,1.042313841850527,1.042512498747918,0.38242322970782555,0.38264688854255985,0.1950313113629818,0.14904008898884058,0.09198244428262115,1.0336954593658447,0.00026023361630295107,222.0
12,8060,0.16072343188908791,0.13613919166307295,0.04916848174987301,0.0,1.0509293019771575,1.0510664459197752,0.38834322551565786,0.388504631480863,0.1924625113606453,0.14268406480550766,0.09955689404159784,1.041094720363617,0.00021866379428208405,222.3
13,8680,0.15390033539264433,0.13072463605673082,0.04635139983147383,0.0,1.0583108961582184,1.058329002895663,0.39197966067060347,0.3919593016466787,0.18330989498645067,0.13290523225441575,0.10080932453274727,1.047915257513523,0.00018007012902028515,222.6
14,9300,0.14911350302638546,0.12742814571867067,0.04337071599739213,0.0,1.0633453340299668,1.0633468937489294,0.39271405872798737,0.3927718368749465,0.1851375810801983,0.13238849490880966,0.10549816628918052,1.0522207617759705,0.00014548427771285242,222.5
15,9920,0.144842605461036,0.12474682015036383,0.04019157140245361,0.0,1.0655019540940562,1.0653835431221992,0.39015502694153015,0.39003439814813673,0.1862341845408082,0.1326979179866612,0.107072529848665,1.0533521249890327,0.0001158307636491593,222.6
16,10540,0.13976959713524387,0.12119002988742243,0.03715913537288866,0.0,1.06411680675322,1.0638708979852738,0.3864008277654648,0.3863049256224786,0.18213110137730837,0.12873025937005877,0.10680168075487018,1.0482970252633095,9.190226254274974e-05,223.1
17,11160,0.13550150949628123,0.11812532130748996,0.03475237697843583,0.0,1.0610520034067092,1.060881213026662,0.3832499312777673,0.38321566605760204,0.1758818170055747,0.12289578281342983,0.10597206745296717,1.0464692115783691,7.433841331290386e-05,222.9
18,11780,0.1321667093423105,0.11577009744942188,0.03279322428748973,0.0,1.058620963558074,1.0583830175861235,0.3805316926010193,0.38049189895391466,0.1748508121818304,0.12215610966086388,0.1053894036449492,1.043796718120575,6.360871973212415e-05,222.9
19,12400,0.12557538788645498,0.10997309377116542,0.03120458862714229,0.0,1.0538051695592943,1.053576212352322,0.3768851607557266,0.376820990683571,0.16927610244601965,0.11768957134336233,0.10317306453362107,1.038870021700859,5.9999999999999995e-05,223.0
