variant,epoch,step,train/loss,train/bce,train/vel,train/cc,val/loss,val/bce,val/vel,val/cc,lr,epoch_s
drumjepa,0,157,0.8085348674446154,0.6485330872474961,0.0808692032554347,0.0791325795280326,0.7907292991876602,0.6390145905315876,0.06969585479237139,0.08201884920708835,0.00028858192987669273,22.1
drumjepa,1,314,0.7256324568371864,0.5964837564024955,0.058392481012329175,0.07075621809359568,0.7423787266016006,0.6021460648626089,0.06313585443422198,0.07709680963307619,0.00025606601717798175,20.2
drumjepa,2,471,0.6945214305713678,0.570915171674862,0.053848521558532286,0.06975773591429564,0.7283263131976128,0.5886958446353674,0.062379652401432395,0.07725081383250654,0.00020740251485476318,20.4
drumjepa,3,628,0.6779362084759268,0.5582765283857941,0.05083324741216222,0.06882642959333529,0.7268594689667225,0.5902281664311886,0.06119747704360634,0.07543383399024606,0.00014999999999999996,20.6
drumjepa,4,785,0.6643540354291345,0.5479168796994883,0.048490228380557075,0.06794692860667113,0.7148202955722809,0.5801108218729496,0.05995983362663537,0.07474964018911123,9.25974851452364e-05,21.0
drumjepa,5,942,0.6534578033313629,0.5401185861059056,0.04631393500099516,0.06702528110924799,0.7059042192995548,0.5721336305141449,0.059504235512577,0.07426635408774018,4.393398282201779e-05,21.1
drumjepa,6,1099,0.6456318167364521,0.5346588268401516,0.044693569634940214,0.06627942092574327,0.7020048499107361,0.5688474848866463,0.05936591746285558,0.07379144965671003,1.1418070123306965e-05,21.0
drumjepa,7,1256,0.6421351288534274,0.5323157640779095,0.04392961139796646,0.0658897542792141,0.7019489295780659,0.5688826087862253,0.05930569826159626,0.07376061985269189,0.0,20.9
aojepa,0,157,0.8048719786534644,0.6464890347924203,0.0795970974122263,0.07878584654372968,0.7793749384582043,0.6310404408723116,0.06863783719018102,0.0796966734342277,0.00028858192987669273,20.2
aojepa,1,314,0.7038093102965385,0.5787535738793148,0.055071342760210584,0.06998439145031249,0.7356378175318241,0.592785419896245,0.06179129867814481,0.08106109499931335,0.00025606601717798175,20.2
aojepa,2,471,0.6688328320813027,0.5510165474976704,0.04962404050929531,0.06819224827418661,0.7032274939119816,0.5718586314469576,0.059018688974902034,0.07235017186030746,0.00020740251485476318,20.2
aojepa,3,628,0.6428484905297589,0.5313689708709717,0.045518490017219713,0.06596102726877115,0.6823146604001522,0.5508007984608412,0.05689470062498003,0.07461915211752057,0.00014999999999999996,20.2
aojepa,4,785,0.6219871480753467,0.5169673252637219,0.04145226091336293,0.06356756265755671,0.6675528213381767,0.5391801074147224,0.05548325937706977,0.07288944651372731,9.25974851452364e-05,20.2
aojepa,5,942,0.6001712288826134,0.5016505319601411,0.036795401720294524,0.06172529456152278,0.6499415785074234,0.5261057652533054,0.051261760760098696,0.07257405808195472,4.393398282201779e-05,20.2
aojepa,6,1099,0.580262171994349,0.48774563715716074,0.03261380515707906,0.059902726892073446,0.6387240923941135,0.5172474551945925,0.04878312163054943,0.07269351789727807,1.1418070123306965e-05,20.2
aojepa,7,1256,0.5725409407524547,0.4825225309201866,0.030943337127945985,0.059075070723037054,0.6372523866593838,0.5162969008088112,0.0483732809079811,0.0725821980740875,0.0,20.2
random,0,157,0.8040409687977688,0.6473763729356656,0.07883036200692699,0.07783423838721719,0.7681878991425037,0.626459926366806,0.06257128668949008,0.07915667677298188,0.00028858192987669273,20.1
random,1,314,0.7173988029455683,0.5945886210271507,0.05201598370720627,0.07079419956370524,0.7305537387728691,0.5999613348394632,0.0546273950021714,0.07596500986255705,0.00025606601717798175,20.1
random,2,471,0.6799875186507109,0.5632328425243402,0.04775459288506751,0.0690000823633686,0.7123808488249779,0.5834264997392893,0.05496503598988056,0.07398931705392897,0.00020740251485476318,20.1
random,3,628,0.6523948372549312,0.5411563430242478,0.04448847064546719,0.06675002420214331,0.66892184689641,0.5460335128009319,0.05162912327796221,0.07125920965336263,0.00014999999999999996,20.2
random,4,785,0.6009113378585524,0.5013832208836914,0.035082763357526935,0.06444535428171705,0.6105676721781492,0.49991502426564693,0.03913468960672617,0.07151795411482453,9.25974851452364e-05,20.1
random,5,942,0.5476884276244292,0.4572671560724829,0.028649886049757337,0.06177138373445554,0.5780360605567694,0.47021000646054745,0.036536435945890844,0.07128961710259318,4.393398282201779e-05,20.2
random,6,1099,0.5213755819068593,0.43571584258869195,0.025727734740847236,0.0599320009113497,0.5648768972605467,0.45776994340121746,0.036574607249349356,0.07053233962506056,1.1418070123306965e-05,20.2
random,7,1256,0.5121369018296528,0.42827479816546105,0.0247191263564453,0.059142978731424184,0.5626495480537415,0.4566670209169388,0.03635395283345133,0.0696285821031779,0.0,20.1
raw_mel,0,157,0.8070839411893468,0.6465185873068062,0.08071451532138381,0.07985083981873883,0.7615578398108482,0.6216508839279413,0.06007553404197097,0.07983142114244401,0.00028858192987669273,12.1
raw_mel,1,314,0.7057000861805716,0.584151462764497,0.050646158208133306,0.0709024655401327,0.7225592583417892,0.5939946006983519,0.05411941709462553,0.07444524322636425,0.00025606601717798175,11.9
raw_mel,2,471,0.6742733773911834,0.5573603351404712,0.047628850029532314,0.06928419112969356,0.6984751969575882,0.5728222206234932,0.05397607502527535,0.07167689851485193,0.00020740251485476318,11.9
raw_mel,3,628,0.6471126444020848,0.5355264895660862,0.04441811690095124,0.06716803843333463,0.6681185327470303,0.5459638964384794,0.05146257590968162,0.07069206214509904,0.00014999999999999996,11.9
raw_mel,4,785,0.6061130557090614,0.5037743506158233,0.03802172452875763,0.06431697947299404,0.615074722096324,0.50206009298563,0.04318466258700937,0.06982996920123696,9.25974851452364e-05,11.9
raw_mel,5,942,0.5496858996190842,0.4573437394989524,0.030614676416679552,0.061727483917003986,0.5702011547982693,0.4653345122933388,0.03760320518631488,0.06726343929767609,4.393398282201779e-05,11.9
raw_mel,6,1099,0.5182416875650928,0.4311900524197111,0.027408741094219456,0.05964289570025578,0.55671183206141,0.45232525654137135,0.03620718989986926,0.06817938317544758,1.1418070123306965e-05,11.9
raw_mel,7,1256,0.5078864027360442,0.42308289268214233,0.026113701047031743,0.058689807156089006,0.5529261492192745,0.44965569116175175,0.0361743870889768,0.06709606433287263,0.0,11.9
drumjepa_with_at,0,157,0.8076937468188583,0.6479692504664135,0.0793974925141046,0.08032700348242074,0.7894138023257256,0.6402864158153534,0.06878401478752494,0.08034335798583925,0.00028858192987669273,21.9
drumjepa_with_at,1,314,0.7139721615299298,0.5927934908563164,0.05870522781731976,0.06247344321221303,0.7081180587410927,0.5868453662842512,0.06408568006008863,0.05718700657598674,0.00025606601717798175,21.3
drumjepa_with_at,2,471,0.6643970244249721,0.5529870333944916,0.05276450251412999,0.05864548965529272,0.6822970733046532,0.5637150499969721,0.06262557953596115,0.05595645529683679,0.00020740251485476318,21.4
drumjepa_with_at,3,628,0.6435090261659805,0.5376192574288435,0.04850321270193264,0.057386553259032545,0.6733184792101383,0.5580457616597414,0.05944191548041999,0.05583079787902534,0.00014999999999999996,21.4
drumjepa_with_at,4,785,0.6280017510341231,0.526701958316147,0.04522731591751621,0.05607247328872134,0.6601794436573982,0.5466190483421087,0.057325641391798854,0.05623475112952292,9.25974851452364e-05,21.4
drumjepa_with_at,5,942,0.6139316069092721,0.5168359663076462,0.04198126117609868,0.05511437842895271,0.6544972080737352,0.5415979996323586,0.057105875574052334,0.055793324136175215,4.393398282201779e-05,21.4
drumjepa_with_at,6,1099,0.6035451163911516,0.5099812345519946,0.039120483336744796,0.05444339636689539,0.6487416997551918,0.5370352510362864,0.05542610178235918,0.0562803337816149,1.1418070123306965e-05,21.3
drumjepa_with_at,7,1256,0.5985392005580246,0.506844094984091,0.037610480383892725,0.05408462367145119,0.6478780563920736,0.5364817082881927,0.055144851678051054,0.05625149351544678,0.0,21.3
raw_mel_with_at,0,157,0.8021999271052658,0.6453424840216424,0.07812686739074197,0.07873057445902733,0.7621329315006733,0.6211594957858324,0.06275198166258633,0.0782214580103755,0.00028858192987669273,12.7
raw_mel_with_at,1,314,0.6959071223902854,0.581041173570475,0.052027102275069355,0.06283884421940063,0.6933260671794415,0.5816806592047215,0.05447016702964902,0.057175235357135534,0.00025606601717798175,12.7
raw_mel_with_at,2,471,0.6568759383669325,0.5513271894424584,0.047257564819542464,0.058291183677828234,0.6713674291968346,0.5595347825437784,0.05576488107908517,0.05606775498017669,0.00020740251485476318,12.7
raw_mel_with_at,3,628,0.6354300121592867,0.5341264708026959,0.04421059590331308,0.05709294569055746,0.6536931861191988,0.5440084859728813,0.05397174786776304,0.05571295984555036,0.00014999999999999996,12.7
raw_mel_with_at,4,785,0.6112352286934093,0.5159712192738891,0.03977035626674154,0.05549365419680905,0.6291806511580944,0.5250483565032482,0.049184366362169385,0.0549479266628623,9.25974851452364e-05,12.7
raw_mel_with_at,5,942,0.5717153165750443,0.48524585992667324,0.03314730420613744,0.053322153533719906,0.5934572257101536,0.4949056524783373,0.04373703431338072,0.05481452925596386,4.393398282201779e-05,12.7
raw_mel_with_at,6,1099,0.5398930485840816,0.45934197420527223,0.02919723345026089,0.051353839267591,0.5773580111563206,0.4819822646677494,0.04175986850168556,0.05361588124651462,1.1418070123306965e-05,12.7
raw_mel_with_at,7,1256,0.529207385649347,0.45071603101529895,0.02795701844107573,0.05053433507775805,0.5743178520351648,0.47904386185109615,0.04160707688424736,0.053666924010030925,0.0,12.7
