epoch,step,train/loss,train/loss_s,train/loss_a,train/s_tea_std,train/s_stu_std,train/a_tea_std,train/a_stu_std,val/loss,val/loss_s,val/loss_a,val/s_tea_std,lr,epoch_s
0,620,0.1266767288107545,0.1266767288107545,0.0,0.4925593968360655,0.49322542134792574,0.0,0.0,0.04781513591296971,0.04781513591296971,0.0,0.40817452780902386,0.0005998645229408355,178.0
1,1240,0.08252084225776696,0.08252084225776696,0.0,0.6084269543809275,0.61699266871137,0.0,0.0,0.09465998876839876,0.09465998876839876,0.0,0.6558968722820282,0.0005948640434510083,175.5
2,1860,0.10140348055189656,0.10140348055189656,0.0,0.7290680666123667,0.7309909968606887,0.0,0.0,0.10941815515980124,0.10941815515980124,0.0,0.7293272018432617,0.0005827834150727983,175.3
3,2480,0.13071975504919406,0.13071975504919406,0.0,0.7965651254500112,0.7988559224913198,0.0,0.0,0.1564621413126588,0.1564621413126588,0.0,0.81912537291646,0.0005639455681914255,185.8
4,3100,0.16673624794329367,0.16673624794329367,0.0,0.8704788898268053,0.871591834099062,0.0,0.0,0.17831380013376474,0.17831380013376474,0.0,0.8787531107664108,0.0005388540621383761,248.3
5,3720,0.17923665503340383,0.17923665503340383,0.0,0.9139376437471759,0.9144577820454874,0.0,0.0,0.187961308285594,0.187961308285594,0.0,0.9161878116428852,0.0005081796244173618,281.5
6,4340,0.18259320278321542,0.18259320278321542,0.0,0.944469970753116,0.9447513402469696,0.0,0.0,0.19292373768985271,0.19292373768985271,0.0,0.9405929520726204,0.0004727422213148852,277.5
7,4960,0.18428428348514342,0.18428428348514342,0.0,0.9710967938746176,0.9714932686859562,0.0,0.0,0.1959560615941882,0.1959560615941882,0.0,0.9672871865332127,0.00043348913917044037,269.2
8,5580,0.18645763779359478,0.18645763779359478,0.0,0.9921656224996813,0.9922850839553341,0.0,0.0,0.19898929353803396,0.19898929353803396,0.0,0.9874706417322159,0.0003914696622216646,324.4
9,6200,0.18887716310639535,0.18887716310639535,0.0,1.007691104854307,1.0076607308080119,0.0,0.0,0.19435311201959848,0.19435311201959848,0.0,0.9966900199651718,0.000347807023917436,285.5
10,6820,0.18769738018032042,0.18769738018032042,0.0,1.0195613259269345,1.0196210903506124,0.0,0.0,0.19463905040174723,0.19463905040174723,0.0,1.0092197731137276,0.00030366838147557064,219.1
11,7440,0.18262826201896515,0.18262826201896515,0.0,1.0294246404401717,1.0294430746186165,0.0,0.0,0.1880279015749693,0.1880279015749693,0.0,1.0167494006454945,0.00026023361630295107,213.2
12,8060,0.1753230448932417,0.1753230448932417,0.0,1.0371400519724816,1.0370913046021615,0.0,0.0,0.17696693073958158,0.17696693073958158,0.0,1.0213120132684708,0.00021866379428208405,176.9
13,8680,0.16495813018371983,0.16495813018371983,0.0,1.0385922116618003,1.038325927334447,0.0,0.0,0.16743441298604012,0.16743441298604012,0.0,1.0193226300179958,0.00018007012902028515,182.0
14,9300,0.15909705700412874,0.15909705700412874,0.0,1.0418870424070665,1.041907201659295,0.0,0.0,0.16719801351428032,0.16719801351428032,0.0,1.0245535671710968,0.00014548427771285242,215.8
15,9920,0.15296880838371094,0.15296880838371094,0.0,1.043982679613175,1.0436809397512867,0.0,0.0,0.15698349941521883,0.15698349941521883,0.0,1.023608148097992,0.0001158307636491593,196.4
16,10540,0.14702907460591486,0.14702907460591486,0.0,1.042220365808856,1.0418488552493435,0.0,0.0,0.1508155227638781,0.1508155227638781,0.0,1.021395705640316,9.190226254274974e-05,175.4
17,11160,0.13895572576551668,0.13895572576551668,0.0,1.0395873325486338,1.0391875155510442,0.0,0.0,0.14313511829823256,0.14313511829823256,0.0,1.0179532654583454,7.433841331290386e-05,174.9
18,11780,0.133782855841902,0.133782855841902,0.0,1.0321305772950573,1.0316433741200355,0.0,0.0,0.14022810477763414,0.14022810477763414,0.0,1.0112226866185665,6.360871973212415e-05,174.8
19,12400,0.12868286432518114,0.12868286432518114,0.0,1.0264581264988069,1.0261319287361637,0.0,0.0,0.13322264095768332,0.13322264095768332,0.0,1.006793785840273,5.9999999999999995e-05,174.7
