epoch,step,train/loss,train/loss_s,train/loss_a,train/s_tea_std,train/s_stu_std,train/a_tea_std,train/a_stu_std,val/loss,val/loss_s,val/loss_a,val/s_tea_std,lr,epoch_s
0,620,0.22384694919230477,0.1913561382000485,0.06498162224363055,0.7065347003359949,0.715292873642137,0.16252945989610687,0.15779375043367186,0.16116742603480816,0.15854997839778662,0.0052348938916111365,0.8240011446177959,0.0005998645229408355,134.6
1,1240,0.17053209230784447,0.1679155097132729,0.005233165185387817,0.8982649797393429,0.8981513030106022,0.11903710928895782,0.12119378912593087,0.1837855651974678,0.18064313102513552,0.006284863848122768,0.8983926139771938,0.0005948640434510083,132.2
2,1860,0.18576931542446537,0.1828634895624653,0.005811652102537693,0.9538219185606126,0.9536030732816265,0.132129130885005,0.13259207012672578,0.20185281988233328,0.1988571621477604,0.0059913104778388515,0.9578695558011532,0.0005827834150727983,138.6
3,2480,0.2033487895083043,0.1996910447074521,0.007315489830779693,0.9871931065474787,0.9871126073022043,0.13893127255141735,0.1401751063163242,0.22737866546958685,0.22262599039822817,0.009505354799330235,0.9883795864880085,0.0005639455681914255,132.2
4,3100,0.21249686916989666,0.20637018596453052,0.012253366998066345,1.0120131502228398,1.0121838074538017,0.17995050186591763,0.18157524502565783,0.22658166382461786,0.21908544842153788,0.014992431562859565,1.0167791619896889,0.0005388540621383761,131.8
5,3720,0.2122872862123674,0.20261024734185587,0.0193540780744966,1.0369471409628468,1.036998002759872,0.21247915325145567,0.2135770115160173,0.22878103237599134,0.21685002371668816,0.023862018482759595,1.0376520082354546,0.0005081796244173618,131.8
6,4340,0.21125315906059358,0.19873100749907954,0.0250443039311757,1.0592275588743147,1.059458887961603,0.23210678884098607,0.2327053439953635,0.22585955448448658,0.2122350288555026,0.027249053004197776,1.0582292824983597,0.0004727422213148852,131.7
7,4960,0.21462388387130152,0.20010603490856385,0.029035698075688655,1.080215315664968,1.080513354847508,0.24548848045449104,0.2462023377178177,0.2282625548541546,0.2117650881409645,0.03299493528902531,1.0791588723659515,0.00043348913917044037,131.8
8,5580,0.21344912768371643,0.19761508222549193,0.03166809186579719,1.0982244649241049,1.0983602250775983,0.25777602972042174,0.2582832087672526,0.231238747946918,0.2133637797087431,0.035749933565966785,1.0952500477433205,0.0003914696622216646,131.7
9,6200,0.21201445217574796,0.19455013746215452,0.0349286301782535,1.1132477662255686,1.1134387379692448,0.2700357250628933,0.27046460288186225,0.22747426480054855,0.20694682467728853,0.04105488141067326,1.1100641340017319,0.000347807023917436,131.7
10,6820,0.2099198043346405,0.1912960102721568,0.03724758883998279,1.1255769275849865,1.1256580156664695,0.28143445681179724,0.2815096403802595,0.21224516723304987,0.18966687005013227,0.045156594133004546,1.1192280799150467,0.00030366838147557064,131.7
11,7440,0.2039141982072784,0.1845179734931838,0.03879245031745203,1.1351850053956432,1.1351966425295799,0.29111761628620086,0.29125802670755696,0.22054884117096663,0.1959282075986266,0.04924126248806715,1.1276513487100601,0.00026023361630295107,131.7
12,8060,0.2010387197136879,0.18107596414704477,0.039925511890361386,1.143112252989123,1.143147091903994,0.3015224746638729,0.30182775888712177,0.2182159200310707,0.19032577518373728,0.05578028946183622,1.1361321359872818,0.00021866379428208405,131.8
13,8680,0.1969605290120648,0.1767733153075941,0.04037442799777754,1.1469907601033487,1.1468155797450774,0.31099199095079977,0.31111006703107585,0.21806496940553188,0.1874690242111683,0.06119188922457397,1.1380409896373749,0.00018007012902028515,131.7
14,9300,0.18931025230596144,0.169621050982706,0.03937840310315932,1.149905792743929,1.149674351369181,0.31700252107074184,0.3171100600111869,0.21828409284353256,0.18521906342357397,0.06613006326369941,1.1377100199460983,0.00014548427771285242,132.0
15,9920,0.18124700573182875,0.16232412479096844,0.03784576227227526,1.150391060882999,1.1500912201020026,0.3212041111723069,0.32109904467098177,0.20677096769213676,0.17294935695827007,0.06764322286471725,1.1378902196884155,0.0001158307636491593,131.8
16,10540,0.17277049215570572,0.15441345132647022,0.03671408159237716,1.148609653403682,1.148448557622971,0.32558867791968005,0.32569426302948307,0.20145440567284822,0.164947590790689,0.07301362929865718,1.1364864632487297,9.190226254274974e-05,131.8
17,11160,0.1635941087718933,0.1459563643581444,0.035275489326205944,1.1457561023773686,1.1454703554030388,0.32765881630682175,0.32754863385231264,0.19133014045655727,0.1545706051401794,0.07351906783878803,1.1305699199438095,7.433841331290386e-05,131.8
18,11780,0.1549494714866723,0.13800247821115677,0.033893987139867195,1.1411646369964845,1.1409834150345095,0.32840389080585974,0.32837245257631426,0.18627105560153723,0.1483396179974079,0.07586287171579897,1.1283705905079842,6.360871973212415e-05,131.7
19,12400,0.1488826333394935,0.13235533292735777,0.03305460148821435,1.1379835509484815,1.1377040157395024,0.33005251206697955,0.3299765745478292,0.1851433590054512,0.14675444178283215,0.07677783281542361,1.1228026524186134,5.9999999999999995e-05,131.8
