epoch,step,train/loss,train/loss_s,train/loss_a,train/s_tea_std,train/s_stu_std,train/a_tea_std,train/a_stu_std,val/loss,val/loss_s,val/loss_a,val/s_tea_std,lr,epoch_s
0,620,0.20443646261288273,0.16623979845354633,0.07639332776964311,0.6189211604095275,0.6262211646283826,0.24173361649436334,0.24306243795060342,0.12882069125771523,0.11311105825006962,0.031419267412275076,0.6917215585708618,0.0005998645229408355,216.4
1,1240,0.12864472069326907,0.11018402206320917,0.03692139774230459,0.8078138586974913,0.811922493865413,0.3297435565821586,0.33498341087852757,0.14492066949605942,0.12553930236026645,0.038762736483477056,0.836031585931778,0.0005948640434510083,213.3
2,1860,0.15739339090162707,0.13940531442001944,0.0359761533747998,0.8988307117454467,0.8997831212897455,0.32628606956812645,0.3280096722706672,0.17805719282478094,0.16237872559577227,0.03135693457443267,0.9054468609392643,0.0005827834150727983,212.5
3,2480,0.18342952946982077,0.1707813796256819,0.025296300346212042,0.9446352129982364,0.9449480873923148,0.28073373771002214,0.2805401854457394,0.19614272378385067,0.185781579464674,0.020722292480058968,0.9499406479299068,0.0005639455681914255,211.3
4,3100,0.18448558346398414,0.17328370920112057,0.0224037496763612,0.9765841047610005,0.9767237614239416,0.25495378653849327,0.2565535941191258,0.18698004260659218,0.17487304378300905,0.024213997996412218,0.9787195920944214,0.0005388540621383761,211.2
5,3720,0.17977557364971408,0.16692282586328444,0.025705495467709918,1.0021170407533646,1.0022994145270316,0.26331191428246037,0.26440784498568504,0.18306397926062346,0.1685263579711318,0.029075244208797812,1.0021754577755928,0.0005081796244173618,211.1
6,4340,0.17899670834022183,0.16401154687327724,0.029970324084523225,1.0227440403353782,1.0230482312940783,0.268133574291583,0.26906825419395203,0.18575784098356962,0.1699750144034624,0.03156565607059747,1.0214544534683228,0.0004727422213148852,211.2
7,4960,0.1791711396988361,0.1624754766302724,0.03339132641952845,1.0423920337230927,1.0426753119114907,0.2732471461257627,0.2738530069108932,0.18740468006581068,0.16897305008023977,0.03686326020397246,1.0412213131785393,0.00043348913917044037,211.1
8,5580,0.17760163341318408,0.15972495540495843,0.03575335588426359,1.0624685489362287,1.0627579912062615,0.2816684158098313,0.2822339891426025,0.19409704580903053,0.17411244101822376,0.03996920585632324,1.0622386559844017,0.0003914696622216646,211.1
9,6200,0.179217582147929,0.16034284383058547,0.03774947681494298,1.0806835276465263,1.080863489450947,0.29117695645939917,0.2918367213299198,0.19105924759060144,0.16862086579203606,0.04487676080316305,1.0794031247496605,0.000347807023917436,211.1
10,6820,0.18430047020796805,0.16430730360650248,0.03998633326902505,1.0932322396386054,1.0931044970789263,0.3040870354060204,0.3047058920706472,0.19435886852443218,0.16903076320886612,0.05065621365793049,1.0856217741966248,0.00030366838147557064,211.2
11,7440,0.18745471515482473,0.16686937650365213,0.04117067802336908,1.0949664873461569,1.0945476455073202,0.314466641122295,0.3147598999161874,0.19624731689691544,0.16876187548041344,0.054970883997157216,1.0842966809868813,0.00026023361630295107,211.2
12,8060,0.18131232052560775,0.16059584550319178,0.04143295133666646,1.0927404395995601,1.0924025085664564,0.32461865722171723,0.32500468415598716,0.1937537109479308,0.16406773030757904,0.059371959418058395,1.0855347216129303,0.00021866379428208405,302.6
13,8680,0.17201498614684227,0.15172750562910112,0.04057496163032709,1.0952003880854575,1.0951319298436564,0.3314085823393637,0.33166615847618347,0.1810056222602725,0.14996856730431318,0.06207410362549126,1.08984375,0.00018007012902028515,348.2
14,9300,0.15965235108329404,0.14022647102753963,0.03885176090463515,1.0967463614479187,1.0965501694909987,0.33432558630743336,0.33445737972374884,0.17568614706397057,0.14338060468435287,0.0646110842935741,1.0895499512553215,0.00014548427771285242,23696.4
15,9920,0.1461014965128514,0.12778288712424615,0.03663721942012348,1.096119092356774,1.0958921109476396,0.3347388946240948,0.334830147700925,0.1645808033645153,0.13115916913375258,0.06684326962567866,1.0889826714992523,0.0001158307636491593,249.4
16,10540,0.1345811503909288,0.11717371212378624,0.03481487688277998,1.0942999047617759,1.094060831492947,0.3350343085585102,0.33502337677824884,0.15010871831327677,0.11644438002258539,0.06732867821119726,1.0868272110819817,9.190226254274974e-05,211.7
17,11160,0.1229412910438353,0.10673049415551847,0.032421593383074765,1.0917820922790036,1.091543480465489,0.3316036093619562,0.331605116253899,0.14117570873349905,0.10786478640511632,0.06662184512242675,1.0846095383167267,7.433841331290386e-05,211.5
18,11780,0.1176054182672693,0.1021043278397091,0.03100218130275607,1.0895969586987648,1.089390560503929,0.33090697728818463,0.33098811968680353,0.1356899756938219,0.10199942393228412,0.067381102591753,1.0830858796834946,6.360871973212415e-05,211.5
19,12400,0.10907130622335019,0.09421231431826468,0.029717984305874957,1.0879293326408632,1.087696244447462,0.3290913501574147,0.3291145159832893,0.13209770992398262,0.09820474730804563,0.06778592336922884,1.080598421394825,5.9999999999999995e-05,211.5
