epoch,step,train/loss,train/loss_s,train/loss_a,train/loss_rec,train/s_tea_std,train/s_stu_std,train/a_tea_std,train/a_stu_std,val/loss,val/loss_s,val/loss_a,val/s_tea_std,lr,epoch_s
0,620,0.24940795918866512,0.19935681693736584,0.06428202930762764,0.1791012735015923,0.6481374256072506,0.6579282936549956,0.1718430818809617,0.16765656936312875,0.11932719545438886,0.10673719178885221,0.011612965492531657,0.716466598212719,0.0005998645229408355,280.5
1,1240,0.11988212544350854,0.11268828697502613,0.005287315783601615,0.04550180669513441,0.7964433339334304,0.7987379777816034,0.12495688129096262,0.12655100430692395,0.12218456389382482,0.11513611115515232,0.007264363550348207,0.785238791257143,0.0005948640434510083,342.2
2,1860,0.12478835314752594,0.11298306556718965,0.018116672449715196,0.027469516419354946,0.8139902265802507,0.8144239651580011,0.2132319539545044,0.21790790572281807,0.12925362773239613,0.11052754893898964,0.032761100213974714,0.801225695759058,0.0005827834150727983,319.1
3,2480,0.1335547721073512,0.10983261062252907,0.04330955158859011,0.020673861171329213,0.8323858313983487,0.8328899174928666,0.2979060904633614,0.299711093402678,0.134035334456712,0.1063937428407371,0.05137994489632547,0.8137010559439659,0.0005639455681914255,452.7
4,3100,0.13802652628191056,0.10592300155230107,0.06069744347083953,0.017548037000421075,0.8427390023585288,0.8435879689070487,0.3414163215987144,0.3427686341827916,0.14690920524299145,0.1089928550645709,0.07245914125815034,0.8345596976578236,0.0005388540621383761,411.9
5,3720,0.14691573165116772,0.10753846836666907,0.07556299644131814,0.01595764901008337,0.8640353784445793,0.8651322585921134,0.37900604567220136,0.3799068131754475,0.1543522272258997,0.10833874391391873,0.0888037970289588,0.8619356416165829,0.0005081796244173618,482.8
6,4340,0.1480362805387666,0.10296555425851575,0.0872286054155519,0.014564237154779896,0.8940575099760486,0.8950704865878628,0.40996729087445044,0.4106111277014978,0.1584189934656024,0.10312881041318178,0.10750077711418271,0.8986486829817295,0.0004727422213148852,378.3
7,4960,0.13933481864871516,0.09068921103833183,0.09453592406165215,0.013776456729899491,0.927304912094147,0.9279815827646564,0.4361099775279722,0.4366822092283157,0.1509383376687765,0.08557218685746193,0.12799543980509043,0.9333632551133633,0.00043348913917044037,348.3
8,5580,0.12010481606327718,0.06991043156914173,0.09762877229480973,0.01379998597586828,0.9615089350169704,0.962362920949536,0.454576967031725,0.4547134106678347,0.13080279529094696,0.05823918036185205,0.1420151786878705,0.9770828187465668,0.0003914696622216646,369.2
9,6200,0.09167610958458916,0.0424849568535724,0.09501959901423224,0.016813531749310995,1.009301330774061,1.0102906059834265,0.4602325492808896,0.4606935257392545,0.1241951733827591,0.04383518663235009,0.15723715536296368,1.0236264914274216,0.000347807023917436,362.1
10,6820,0.08345882222056389,0.03293459171188935,0.09758492089327304,0.017317700684971866,1.0397970730258572,1.0400598491391828,0.4796163644521467,0.48031784238353853,0.13139608595520258,0.03941627102904022,0.18050783686339855,1.0446897372603416,0.00030366838147557064,248.3
11,7440,0.07875152337214639,0.027899344625972933,0.09841237050150671,0.016459936624573124,1.0564870882418849,1.0565772681466994,0.49623875622787783,0.4966823793226673,0.13867526361718774,0.03702030214481056,0.20006876438856125,1.0576188266277313,0.00026023361630295107,231.1
12,8060,0.07410466215543209,0.024849882962242248,0.09538288022721968,0.015633390507390422,1.0682486291854612,1.0682318099083439,0.5036709794113713,0.5040604547627511,0.14365946827456355,0.03630643303040415,0.21141992136836052,1.067637212574482,0.00021866379428208405,229.4
13,8680,0.06848236485835045,0.021699477131328276,0.09058134977615649,0.01492212776905827,1.0774053225594182,1.0774561174454227,0.5048910117437763,0.5049639550428237,0.14268172066658735,0.03265221556648612,0.21699886489659548,1.077139787375927,0.00018007012902028515,229.7
14,9300,0.06376775673200046,0.0198486391905575,0.08497692815238429,0.014306534538345952,1.0858466555995325,1.0859055205698935,0.502381538864105,0.5026312342093837,0.13968680100515485,0.029086163907777518,0.21835015807300806,1.0850283354520798,0.00014548427771285242,229.7
15,9920,0.059816771517357516,0.018499070698876054,0.07986570351546811,0.013848490228936557,1.0931887941975746,1.0932495930502493,0.4981762640418545,0.49838859881124187,0.14182507432997227,0.030009842768777162,0.2207682989537716,1.0920478031039238,0.0001158307636491593,225.2
16,10540,0.05689591240257986,0.01778832282420368,0.07548349723219872,0.013658409283286141,1.0996754788583325,1.0997439665179098,0.49320835427891824,0.4934450371611503,0.14106402825564146,0.029591658909339458,0.22013289295136929,1.0981455817818642,9.190226254274974e-05,225.9
17,11160,0.054128353285693355,0.01701362698429054,0.07152510656704826,0.013521729985011681,1.1056443170193704,1.105714444383498,0.4871764226786552,0.4874683433002041,0.13832201343029737,0.027122745581436902,0.2196122882887721,1.1040411219000816,7.433841331290386e-05,227.3
18,11780,0.05214352927981846,0.01653484761294338,0.0685225498291754,0.013474067788751376,1.1112047831858358,1.1112873300429313,0.4819626949967877,0.48228252256108867,0.1382077201269567,0.029022443224675953,0.21555883157998323,1.1094722598791122,6.360871973212415e-05,227.7
19,12400,0.05083079566998828,0.016362323709613373,0.06623725241590891,0.01349845729888447,1.1157308015131182,1.115762544255103,0.47731786447186625,0.47760651688421923,0.1368449474684894,0.028581042832229286,0.21370295900851488,1.1134556978940964,5.9999999999999995e-05,227.8
