epoch,step,train/loss,train/loss_s,train/loss_a,train/loss_rec,train/s_tea_std,train/s_stu_std,train/a_tea_std,train/a_stu_std,val/loss,val/loss_s,val/loss_a,val/s_tea_std,lr,epoch_s
0,620,0.26182808038448135,0.21382970181444,0.05969634942124568,0.18150203217181468,0.6784557371370254,0.6875228454989771,0.1448591126309287,0.14046713756697793,0.12499399669468403,0.11635448411107063,0.00409157011017669,0.7871151678264141,0.0005998645229408355,228.6
1,1240,0.12315930751783233,0.11446368934646729,0.008052145055825672,0.04669545732678906,0.8491974926763965,0.8497129193236751,0.1524787716687687,0.15686544303692157,0.12184659205377102,0.11091047571972013,0.015059811034006998,0.8236040137708187,0.0005948640434510083,225.7
2,1860,0.12738154109927916,0.10951138239714407,0.030249001133826472,0.027456586795949166,0.8442400186292587,0.8443076568265115,0.2851527992035112,0.2894318271548517,0.1311545348726213,0.10782657144591212,0.041942710522562265,0.8281382769346237,0.0005827834150727983,225.9
3,2480,0.13175575719966043,0.10371847313738639,0.0519983870728362,0.020380911501424927,0.8499952575852794,0.8500970879870077,0.34737232500506987,0.34863357678536444,0.13632883550599217,0.1043760385364294,0.0601036970037967,0.8342630416154861,0.0005639455681914255,226.1
4,3100,0.13726589071654505,0.09996728410403574,0.07120731696486474,0.016949481560638354,0.849221162257656,0.8492586035882274,0.3868758275143562,0.38802945988793525,0.1450720066204667,0.10075198579579592,0.0853404151275754,0.835967667400837,0.0005388540621383761,226.5
5,3720,0.14527633158910658,0.09889688131309325,0.08976363044592642,0.014976351227491132,0.8572752522845422,0.8577172655251718,0.4242137121577417,0.42500070117173655,0.158251466229558,0.10263451747596264,0.1083288537338376,0.8518874049186707,0.0005081796244173618,226.4
6,4340,0.15023845448609321,0.09786202828249624,0.1019832941913797,0.013847789793245253,0.8756291509635987,0.876120085677793,0.4555658008302412,0.45613228294157215,0.16715899854898453,0.10120015684515238,0.12914705742150545,0.880166120827198,0.0004727422213148852,226.2
7,4960,0.15061888002580212,0.09534680541724928,0.10775962166728512,0.013922640392857214,0.9067180953679547,0.90712441023319,0.478311272205845,0.47876100804536575,0.17394615896046162,0.09886669041588902,0.14716076711192727,0.9130346588790417,0.00043348913917044037,226.1
8,5580,0.14697645534911463,0.0914601676045887,0.10788619846345916,0.015731884361875635,0.9365510004182016,0.9366876203206278,0.49197345231809925,0.49212083701164494,0.1772412871941924,0.09442522376775742,0.16217670449987054,0.9427424594759941,0.0003914696622216646,226.2
9,6200,0.13646153691074542,0.08413759847321818,0.10095311809451349,0.018473794025879713,0.9619054795272889,0.9620280721495228,0.4932614568741091,0.49278591784738723,0.1663507092744112,0.08393619302660227,0.16036362200975418,0.9712301231920719,0.000347807023917436,226.1
10,6820,0.09833981136400853,0.05120707951606281,0.09016751262449449,0.02048975675997715,0.9991087774115224,0.9999218529270542,0.479520304741398,0.47951616832325533,0.13305069925263524,0.04604744166135788,0.16993641387671232,1.0144380629062653,0.00030366838147557064,226.3
11,7440,0.0835890241207615,0.0368142221934132,0.08953604080503987,0.020067816242695817,1.0299595796292829,1.0302300935791384,0.4892190025698754,0.4897421324926038,0.13876522006466985,0.041664531105197966,0.19018155802041292,1.036079317331314,0.00026023361630295107,226.7
12,8060,0.07593314701751355,0.030447618687345135,0.08716348904755808,0.01903783942182218,1.0467101008661333,1.0467670009982202,0.4964583816066865,0.49692391580150974,0.14156688610091805,0.040043681394308805,0.19918787851929665,1.049035869538784,0.00021866379428208405,226.6
13,8680,0.07069020914815126,0.027219590451568364,0.08327765310964276,0.018317922309882217,1.0582541575354913,1.0582292950922443,0.4986417766059599,0.4989097503885146,0.1413612156175077,0.03619931638240814,0.20670812856405973,1.0596320107579231,0.00018007012902028515,227.2
14,9300,0.06611790231038486,0.025111577206201132,0.07849010470653733,0.01761272793876067,1.0664673709100292,1.0663930575693807,0.49653303416505934,0.49680348437639976,0.1412244839593768,0.034412274486385286,0.21003237180411816,1.0668890699744225,0.00014548427771285242,226.8
15,9920,0.0617299024736689,0.023122482524523813,0.07378973213414992,0.017125538997952976,1.0735534239199853,1.073502226029673,0.4917942683062246,0.4920483349792419,0.14034495688974857,0.033497230033390224,0.21016015578061342,1.0724540427327156,0.0001158307636491593,226.9
16,10540,0.058428304305961055,0.021904348395764828,0.06969994177981731,0.016739850405663732,1.0790528364719882,1.0790211412214463,0.4864960498386814,0.4867575756965145,0.13738394528627396,0.031029552628751844,0.20926173403859138,1.0790505707263947,9.190226254274974e-05,226.7
17,11160,0.05653176992650955,0.021621007258973774,0.06649383113028541,0.01663846973209612,1.0841098716182094,1.084030399399419,0.48144684933847,0.4816856779398457,0.1418429217301309,0.03594598133349791,0.20838963333517313,1.0830892622470856,7.433841331290386e-05,226.5
18,11780,0.05417840043984113,0.02063340083695948,0.06379157013950809,0.016492145808954393,1.088296039066007,1.0882588724936209,0.4762925407098186,0.4765888431379872,0.1421883013099432,0.03739764878991991,0.20613390393555164,1.087192676961422,6.360871973212415e-05,227.9
19,12400,0.05251922747420688,0.02002693728633946,0.061694519834653024,0.01645030308094236,1.0920167340386298,1.0919932903782015,0.47151851442552384,0.47183010871371917,0.14341857796534896,0.03967848652973771,0.20402487367391586,1.0910936444997787,5.9999999999999995e-05,231.3
