epoch,step,train/loss,train/loss_s,train/loss_a,train/loss_rec,train/s_tea_std,train/s_stu_std,train/a_tea_std,train/a_stu_std,val/loss,val/loss_s,val/loss_a,val/s_tea_std,lr,epoch_s
0,620,0.369769063760196,0.2699122012382553,0.060014062791296674,0.6984982864510628,0.5697383219195951,0.5865260693575105,0.14696429373035508,0.1396037815739551,0.3316770829260349,0.2613322800025344,0.0012826482379750814,0.7317334860563278,0.0005998645229408355,223.6
1,1240,0.28850211207905124,0.245880423894813,0.0006002381484816602,0.4232156981864283,0.8463340614111193,0.8535884322658662,0.0359938444209195,0.03557946447343115,0.3355928733944893,0.24914372339844704,0.0003997268831881229,0.9303718209266663,0.0005948640434510083,228.2
2,1860,0.28015347981164535,0.24624755654123523,0.0005705668520550394,0.33620638621430243,1.0036532092478967,1.007147102490548,0.03764290501093191,0.03852866120756634,0.35052948258817196,0.2568305842578411,0.0007783568507875316,1.0528997331857681,0.0005827834150727983,258.0
3,2480,0.2665506073784444,0.2354101921281507,0.0008669726508800992,0.3070692886267939,1.0962939006666983,1.0980375143789476,0.053814905677591604,0.05464859032823193,0.3438228014856577,0.23413470201194286,0.0011196388950338587,1.121384248137474,0.0005639455681914255,260.1
4,3100,0.2521041704762367,0.22186811936478462,0.001526665916073046,0.2947271787351178,1.1524826103641141,1.1534333775120398,0.06887430840682598,0.06934494423649964,0.33464666828513145,0.22589342668652534,0.0016063308285083622,1.1655187159776688,0.0005388540621383761,260.5
5,3720,0.24835792484302674,0.21835183006140493,0.0022096141036825195,0.2890128786044736,1.1866917729377746,1.1871295996250646,0.07918731730070806,0.07982811754749668,0.34788402542471886,0.23119060974568129,0.0024338703879038803,1.1922018751502037,0.0005081796244173618,261.3
6,4340,0.24604559492680333,0.2157712808059108,0.003558742565538494,0.28494942548774904,1.2111433409875438,1.2114556322174688,0.0944985723423381,0.09553371818075257,0.34249028377234936,0.2318338342010975,0.004199463452096097,1.2163940593600273,0.0004727422213148852,262.0
7,4960,0.24890232302488818,0.21739268002490844,0.00639934778033245,0.2830996888299142,1.2350428429342086,1.2352485356792327,0.12087757824169051,0.12231554694233403,0.3579919598996639,0.24501223862171173,0.007234228920424357,1.2393807843327522,0.00043348913917044037,261.5
8,5580,0.25475871300985736,0.22130640146713104,0.010557863239439264,0.2817337970579824,1.2575899825942132,1.2578248393151068,0.1507729866571965,0.15195597073724193,0.3594202548265457,0.240561299957335,0.01083592648501508,1.2632701620459557,0.0003914696622216646,260.5
9,6200,0.2544362426525162,0.2190734690956531,0.01446382330219832,0.2813086126360201,1.2779490374749707,1.2779852661394304,0.173685295543363,0.17472929682943128,0.36665406450629234,0.23863270040601492,0.016397349478211254,1.2799757793545723,0.000347807023917436,260.3
10,6820,0.2541189568177346,0.21755737496479866,0.017261742540605127,0.2793071029407363,1.2973135780903602,1.2974903614290298,0.19063900673101025,0.1912816647079683,0.35971565544605255,0.24052442982792854,0.018898452108260244,1.2991670370101929,0.00030366838147557064,258.4
11,7440,0.2565397994652871,0.21790171640534556,0.021544573762484136,0.2786579680058264,1.3133553051179456,1.3133523023897602,0.21325997784733772,0.214129173250929,0.3541140779852867,0.2344997925683856,0.024528761336114258,1.312734454870224,0.00026023361630295107,255.7
12,8060,0.25586547380493535,0.2145286691284949,0.02711374497702045,0.27779932512391,1.3267751168820165,1.3268248600344503,0.23808517090735898,0.23900987313639732,0.36167462170124054,0.2358336951583624,0.03154950658790767,1.3267831951379776,0.00021866379428208405,247.5
13,8680,0.2563217794702899,0.2126901676097224,0.032021964224235665,0.2762063004076481,1.3405329475479741,1.3405834422957512,0.26032755922886636,0.26116244009425565,0.36100808158516884,0.23841418605297804,0.03886901936493814,1.3378002494573593,0.00018007012902028515,237.4
14,9300,0.2577673093445839,0.21142806131993572,0.037508343821091035,0.27585076139338555,1.3509308680411307,1.3510448407742286,0.2835401875357474,0.28393738452465306,0.3531788121908903,0.226687072776258,0.04690606612712145,1.3470586016774178,0.00014548427771285242,249.3
15,9920,0.25869860637091824,0.21026077258490747,0.04161829836666584,0.2762868508215873,1.3631897468720713,1.3634462643054224,0.302837258240869,0.30337437684497526,0.369358928874135,0.24009305238723755,0.055707811610773206,1.3598316386342049,0.0001158307636491593,250.2
16,10540,0.2573706654290999,0.20712416669534098,0.04529870067152285,0.27597149420649775,1.3741020139186613,1.3743313260616794,0.31981184468153984,0.320265587154896,0.354858685284853,0.22218920942395926,0.0647835626732558,1.3692171275615692,9.190226254274974e-05,250.8
17,11160,0.25544387729417894,0.20429008187305542,0.047232975516348114,0.2753730922456711,1.3828025969766802,1.383033174276352,0.3319991678960862,0.3322269241656027,0.3620192129164934,0.22252860013395548,0.07161462935619056,1.377412959933281,7.433841331290386e-05,251.0
18,11780,0.2558594725064693,0.20369297040085638,0.049197989179482385,0.27567509088304737,1.3909317316547516,1.39111381749953,0.3432334725895236,0.34330269242486644,0.35135913640260696,0.21591125708073378,0.0761593016795814,1.384243592619896,6.360871973212415e-05,251.4
19,12400,0.2562558215472006,0.20378781090820988,0.049699901597153755,0.27618060472511474,1.3973472925924486,1.3975365529137274,0.3490445842185328,0.3492088958621025,0.36808421835303307,0.22727761324495077,0.08118346589617431,1.3919636085629463,5.9999999999999995e-05,252.0
